,date,VTI_close,VOO_close,SPY_close,SCHD_close,VIXY_close
3012,2011-10-20,62.09,55.59,121.66,24.98,99.15
3013,2011-10-21,63.26,56.66,123.97,25.47,93.73
3014,2011-10-24,64.32,57.38,125.49,25.607,87.99
3015,2011-10-25,63.006,56.27,123.05,25.187,93.7
3016,2011-10-26,63.69,56.81,124.3,25.447,89.81
3017,2011-10-27,65.89,58.77,128.63,25.86,78.02
3018,2011-10-28,65.95,58.83,128.6,26.01,77.38
3019,2011-10-31,64.28,57.32,125.5,25.5,85.59
3020,2011-11-01,62.57,55.8,122.0,24.917,98.24
3021,2011-11-02,63.6,56.68,123.99,25.25,95.17
3022,2011-11-03,64.84,57.73,126.25,25.65,90.69
3023,2011-11-04,64.49,57.398,125.48,25.54,92.39
3024,2011-11-07,64.82,57.73,126.26,25.688,91.53
3025,2011-11-08,65.6,58.42,127.88,26.009,87.26
3026,2011-11-09,63.1,56.31,123.16,25.23,103.56
3027,2011-11-10,63.66,56.82,124.32,25.48,97.2
3028,2011-11-11,64.92,57.932,126.66,25.95,92.95
3029,2011-11-14,64.28,57.37,125.46,25.77,95.31
3030,2011-11-15,64.67,57.67,126.08,25.87,94.32
3031,2011-11-16,63.59,56.74,124.08,25.49,98.83
3032,2011-11-17,62.55,55.83,122.11,25.1816,103.73
3033,2011-11-18,62.46,55.75,121.98,25.277,100.13
3034,2011-11-21,61.3,54.75,119.66,24.81,101.38
3035,2011-11-22,61.01,54.46,119.19,24.72,99.11
3036,2011-11-23,59.648,53.31,116.56,24.289,103.71
3037,2011-11-25,59.46,53.15,116.34,24.25,105.06
3038,2011-11-28,61.25,54.74,119.71,24.819,99.96
3039,2011-11-29,61.44,54.9,120.05,24.99,97.9
3040,2011-11-30,64.04,57.15,124.99,25.92,89.21
3041,2011-12-01,64.04,57.11,124.97,25.878,87.08
3042,2011-12-02,64.01,57.08,124.86,25.82,87.08
3043,2011-12-05,64.71,57.7,126.22,26.009,86.81
3044,2011-12-06,64.74,57.75,126.26,26.088,86.51
3045,2011-12-07,64.91,57.94,126.73,26.177,88.97
3046,2011-12-08,63.44,56.69,123.95,25.75,93.12
3047,2011-12-09,64.57,57.65,126.05,26.098,86.64
3048,2011-12-12,63.58,56.82,124.21,25.76,87.07
3049,2011-12-13,62.9,56.28,123.05,25.58,86.62
3050,2011-12-14,62.18,55.65,121.74,25.38,86.95
3051,2011-12-15,62.41,55.86,122.18,25.488,83.48
3052,2011-12-16,62.62,55.9,121.59,25.5,83.12
3053,2011-12-19,61.89,55.33,120.29,25.2,82.32
3054,2011-12-20,63.83,56.98,123.93,25.83,77.23
3055,2011-12-21,63.59,57.15,124.17,25.928,71.99
3056,2011-12-22,64.25,57.69,125.27,26.05,72.22
3057,2011-12-23,64.74,57.8,126.39,26.28,73.97
3058,2011-12-27,64.75,57.86,126.49,26.36,73.32
3059,2011-12-28,63.96,57.15,124.83,26.08,76.47
3060,2011-12-29,64.59,57.67,126.12,26.33,74.6
